Unnamed: 0,Company,Title,Career,Mainjob,Qualified,Preference,Welfare,Skill,Tag,Deadline,Location,URL
280,한국 신용 데이터,영기획,,국내외 정보기술 데이터 산업 자본시장 사업 전략 이해 한국 신용 데이터 사업 방향 정렬 재무 전략 투자자 후보 탐색 발굴 바운드 제안 검토 필요시 미팅 판단 한국 신용 데이터 사업 영위 거나 진출 검토 국가 정보기술 데이터 산업 주요 흐름 자본시장 이벤트 경쟁 현황 사업 영향 이슈 재무 전략 관점 분석 공유 투자자 후보 관계 구축 실사 관리 프로세스 전반 로드 포함 주요한 자금 조달 이벤트 기획 운영 축적 네트워크 활용 자본 시장 한국 신용 데이터 존재 내부 부서 협업 투자 관계 관점 데이터 셋팅 시장조사 기관 포함 외부 네트워크 통해 회사 시장 현황 이해 담보 핵심 주제 이야기 반영 투자 관련 문서 작성 투자자 애널 리스트 커뮤니케이션 카운터 파트 회사 전략 성과 자본시장 전달 재무 커뮤니케이션 전략 실행 책임 회사 성과 외부 이해관계 공유 경영 진과 재무회계 담당자 관련 효과 참여 조율 이사회 주주 참여 이벤트 운영 회사 전반 재무관리 회계 이해도 예산 실적 비교 분석 요인 파악 위해 관련 부서 구성원 깊이 논의 경영 진의 의사결정 사업 투자 검토 기존 서비스 수익 분석 타당성 검토 사업 부별 상세 목표 가이드 정의 해당 트래킹 방법 확립 실적 개선 방안 모색 공동체 출자 포함 전략 내부 보고 피칭,자격 요건 투자자 관계 기업 자금 조달 사업 전략 수립 재무 모델링 숫자 분석 사고 커뮤니케이션 재무회계 이해도 재무 관점 정량 상황 분석 사업 타당성 검토 보유 영어 비즈니스 커뮤니케이션 시뮬레이션 문서 데이터베이스 직접 접속 분석 변화 환경 순위 조율,우대 사항 컨설팅 스타트업 전략 영기획 관련 분야 보유 정보기술 회사 창업 초기 재직 사업 기획 수행 컨설팅 투자 회사 프론트 오피스 정보기술 섹터 담당 영어 이외 중국어 일어 비즈니스 커뮤니케이션 레벨 영미권 과정 해외 근무,혜택 복지 소수 정예 확장 사업 영위 때문 최고 수준 보유 모시 가파른 성장 안정 재무 구조 경쟁력 보상 수준 지속 업계 최고 수준 보상 복지 제도 한국 신용 데이터 복지 가지 주안 구성원 몰입 환경 조성 주기 제휴 병원 가족 건강검진 배우자 부모님 프로그램 사시 구성원 실손 의료 보험 가입 전국 최대 규모 심리상담 업체 심리상담 프로그램 구성원 개인 재무 건강 위해 업체 통해 세무 재무 컨설팅 공간 기질 모니터링 공조 자동화 분리수거 공간 정돈 공간 생산 회의 공간 생산 장치 비유 무선 연결 어댑터 여분 판서 도구 배선 정돈 조명 최신 장비 최신 노트북 선택 듀얼모니터 스탠 데스크 장비 주차 오피스 건물 주차 개별 주차장 주차 차비 일부,,자기계발 커피 스낵바 보너스 건강검진 의료 설립 상위 누적 투자 선도 기업인,마감 일상 채용,서울특별시 강남구 테헤란로 금융 그룹 강남 사옥,https://www.wanted.co.kr/wd/223675
281,다우기술,이커머스 플랫폼 기획,,프론트엔드 전반 홈페이지 기획 운영 컨텐츠 프로모션 홍보 기획 운영 기획 시장 트렌드 파악 신규 기능 기획 담당 서비스 사방 쇼핑몰 통합 관리 서비스 사방 미니 사방 넷풀필먼트,자격 요건 초대 전공 무관 관련 선임 책임 서비스 상세 기획 정의 스토리보드 작성 서비스 기획 기획 런칭 전체 프로세스 기획 커머스 관련 트렌드 관심 협업 부서 커뮤니케이션,우대 사항 디자인 사용 데이터 분석 이커머스 업계 이커머스 서비스 플랫폼 서비스 백오피스 가지 기획,혜택 복지 종업 최고 수준 근무 환경 기업 문화 보상 인적자원 개발 우수 기업 대한민국 기업 선정 맥북 최신 개발 장비 유연근무제 선택 근로 시간제 실시 개발자 엔지니어 인상 회사 직원 동반성 자기개발 제도 복지 제도 자기개발 오프라인 교육 도서 구매 해외 컨퍼런스 사내 세미나 전사 특강 자녀 교육비 주택 자금 대출 복지 포인트 콘도 수원 운영 도서관 운영 출퇴근 셔틀버스 운행,,유연 근무 자기계발 복지 포인트 대출 상위 설립 선도 기업인 유망 산업,마감,경기도 성남시 수정구 토로 다우 디지털 스퀘어,https://www.wanted.co.kr/wd/230820
282,나무 비트 증권 플러스,개인 정보보호 담당자,,개인정보 보호 정책 수립 기획 서비스 개인정보 영향 평가 개선 가이드 개인정보 생명 기별 법적 요구사항 준수 점검 내외 개인정보 취급 대상 개인 정보보호 교육 인식 활동 개인정보 수집 이용 동의 처리 방침 수탁 관리 비트 프라이버시 센터 운영,자격 요건 개인 정보보호 보유 개인정보 보호 유관 법령 이해도,우대 사항 심사 자격 보유 사항 주민 번호 현재 희망 민감 개인정보 삭제 마스 제출 시기 원서 실제 프로젝트 방식 기여 상세 기술 주시 검토 도움 예시 프로젝트 설명 구성 인원 본인 기여 역할 프로젝트 진행 발생 이슈 해결 방법 공통 자격 해외 여행 결격 사유 채용 절차 서류 전형 면접 면접 처우 협의 최종 합격 전형 상황 일정 변경 내용 허위 사실 경우 지원이 취소 국가 유공 장애인 취업 보호 대상자 관계 법령 우대 포지션 합격 경우 개월 수습 기간 적용 채용정보 채용 인원 고용 형태 정규직 채용 유형 근무 지역 서울 강남구 테헤란로 미림 타워 공고 기간 채용 채용 완료 조기 마감,혜택 복지 점심 식대 매월 만원 저녁 식대 팀별 회식비 통신비 매월 만원 포괄 임금 운영 초과 근로 수당 국내외 컨퍼런스 교육 참여 도서 포함 대여 구매 최고 장비 우수 인재 추천 직원 본인 포함 본인 배우자 가족 직계 존비속 포함 실손 의료 보험 치과 진료 보장 가입 직원 본인 생명보험 가입 매년 만원 상당 종합 건강검진 본인 포함 가족 만원 주택 자금 목적 사내 대출 경조사 휴가 조비 물품 추석 명절 선물 직장 어린이집 운영 심리상담 국내 최고급 휴양 소아 파라스 파라 이용 멤버십 할인 적용 근속 마다 안식 휴가 부여 휴무 휴일 제외 연간 만원 한도 복지 카드,,유망 산업 건강검진 어린이 대출 통신비 대지 상위 설립 선도 기업인,마감 일상 채용,서울시 강남구 테헤란로 미림 타워,https://www.wanted.co.kr/wd/235683
283,위메이드,사업,,플랫폼 사업 정책 관리 플랫폼 성장 전략 기획 리딩,자격 요건 게임 관련 플랫폼 사업 동료 진행 문제 긍정 태도 커뮤니케이션,우대 사항 대형 게임 플랫폼 사업 근무 영어 중국어,혜택 복지 조식 중식 건강검진 단체 보험 사내 카페 복지 카드 가룸 수면 실수 유실 스포츠 센터 휴양 시설 제휴 장기 포상 배려 존중 최고 동료 구내식당 한중일 메뉴 아침 점심 무료 이용 최상 원두 전문 바리스타 카페테리아 커피 음료 무료 마음껏 연간 만원 복지 카드 문화 취미 생활 수면 샤워 유실 스포츠 센터 위메이드 편의 시설 휴식 위해 대명 레지던스 한화 리조트 대명 리조트 이용 건강검진 독감 예방접종 단체 상해 보험 가입 건강 가족 건강검진 자녀 대학교 학자금 일과 생활 균형 위해 연차 사용 경조사 경조 원금 유급 휴가 위메이드 기여 장기 근속 위메이드 상금,,편의 시설 단체 보험 커피 스낵바 건강검진 복지 포인트 유급 휴가 유망 산업 상위 설립 누적 투자 선도 기업 산업 기능 요원,마감,경기도 성남시 분당구 대왕판교로 번길 위메이드 타워,https://www.wanted.co.kr/wd/233915
284,굿닥,사업 기획,,단기 장기 사업 기획 사업 개발 사업 목표 달성 사업 실적 사업 지표 분석 관리 사업 실적 분석 사업 지표 관리 사업 계획 회사 소개 전략 비즈니스 문서 작성 기존 신규 투자자 커뮤니케이션 관리,자격 요건 최소 최대 사업 개발 사업 기획 영역 수행 이해관계자 커뮤니케이션 협업 보유 문서 작성 프리젠테이션 기획 추진,우대 사항 디지털 스케 분야 사업 개발 재무 지표 관리 경영 관리 전반 이해 플랫폼 비즈니스 관련 경영 관리 실행 활용,혜택 복지 최고급 종합 건강검진 검진 휴가 보험 줄기 단체 상해 보험 가입 자사 비대 진료 비조 제비 굿닥 점심 점심 식대 야근 저녁 식대 바리스타 사내 힐링 타임 건강 간식 무한 팀워크 향상 매월 조직 활동 최신 하드웨어 소프트웨어 연장 근무 안전 귀가 야근 택시 매월 하루 번은 오프라인 타운 미팅 사무실 근무 제도 운영 출퇴근 피해 시차 출퇴근 운영 볼일 제도 운영 마음 양식 도서 무제한 교육 컨퍼런스 세미나 공유 리더십 교육 기존 신입 걱정 장기 근속 포상 굿닥 재충 전해 창립 기념일 굿닥 생일 전사 생일 명절 선물 경조사 제휴 호텔 펜션 할인,,휴가 건강검진 재택근무 커피 스낵바 대지 유연 근무 보너스 설립 누적 투자 업계 평균,마감,강남구 역삼로 타워,https://www.wanted.co.kr/wd/233622
285,뱅크 샐러드,프로 매니저,,담당 제품 조직 프로덕트 가지 서비스 전략 수립 실행 실험 객관 데이터 통해 고객 이해 바탕 제품 개발 통찰 고객 페인 포인트 해결 고객 제품 제시 기존 제품 고도 신규 서비스 출시 지표 이익 실현 비즈니스 성장 고객 파악 수집 고객 데이터 혜택 요건 데이터 추가 고도화 가치 기회 영역 발굴 발굴 영역 밸류 측정 목표 수립 액션 로드맵 수립 제휴 관계 수립 통해 비즈니스 실행 관리 고객 데이터 제품 고도화 신규 서비스 출시 프로젝트 기획 운영 뱅크 샐러드 서비스 접목 효과 컨버전 고객 터치 포인트 서비스 기획 제품 요구 사항 작성 유저 케이스 정의 고객 시나리오 설계 제품 출시 운영 프로 라이프 사이클 전체 관리 지표 개선 가설 수립 검증 스팅 테스트 결과 객관 데이터 고객 임팩트 최대 의사결정 프로 로드맵 배정 활용 태스크 세분 신규 서비스 출시 활성화 위해 담당 제품 조직 관련 부서 구성원 협업 프로젝트 서비스 운영 상품 소싱 매출 관리 담당 상시 모니터링 토대 문제 발굴 서비스 해결 방안 마련,자격 요건 제품 기획 로서 조직 담당자 협업 프로덕트 품질 성공 품질 기준 고수 문제 해결 실험 통해 지표 관리 데이터 의사결정 제품 전략 통찰 바탕 전략 방향 설정 의미 성과 의견 여러 부서 커뮤니케이션 논리 설득 통해 합의 문제 해결,우대 사항 성공 서비스 런칭 운영 우대 외부 파트너 협업 제휴 성과 대화 우대 창업 실패 성공 우대 테크 마이 데이터 이해도 더욱 데이터 드리븐 의사결정 조직 개발 우대 소프트웨어 기획 배포 사이클 직접 관리 운영 우대,혜택 복지 파일 업로드 이력서 기소 포트폴리오 첨부 서류 파일 업로드 권장,정보 보안 보안 정책 보안 운영,커피 스낵바 유연 근무 편의 시설 재택근무 유급 휴가 상위 설립 보너스 선도 기업,마감 일상 채용,마포구 마포대로 일진 빌딩,https://www.wanted.co.kr/wd/198779
286,버킷 스토어,서비스 기획,,프로젝트 로서 프로젝트 일정 관리 상품 문회원 도메인 정책 수립 기획 신규 서비스 구축 솔루션 도입 스토리보드 기능 정의 시나리오 작성 스스로 문제 정의 적극 개선 개편 방향 설정 계획 추진,자격 요건 서비스 기획 보유 커머스 플랫폼 기획 보유 커머스 상품 문회원 구조 이해도 논리 설득 겸비 협업 부서 커뮤니케이션,우대 사항 패션 이커머스 플랫폼 근무 보유 데이터 분석 사용 사용 활용,혜택 복지 커피 원금 유연 무제 출근,,식대 커피 스낵바 휴가 복지 포인트 선도 기업 상위 인원 설립,마감 일상 채용,서울특별시 강남구 논현로 크리스 역삼 빌딩,https://www.wanted.co.kr/wd/235392
287,,,,모든 고객 안정 배송 서비스 최적 배송 루트 관리 실시간 수요 배달 파트너 관리 데이터 분석 통해 배송 관련 이슈 파악 해결 방안 도출 운영 효율 프로세스 개선,자격 요건 세상 진심 공감 의지 책임감 문제 해결 문제 해결 주도 목표 달성 위해,우대 사항 시장 배송 관련 문제 해결 스타트업 의사결정 사업 성장 데이터 문제 정의 해결 커뮤니케이션,혜택 복지 스톡옵션 성과 인상 추가 스톡옵션 매달 건강 만원 출퇴근 경우 근거리 주거 실리콘 밸리 오피스 방문 동료 성장 모든 사항,,보너스 산업 기능 요원 커피 스낵바 전문 요원 업계 평균 설립 스톡옵션 유연 근무,마감 일상 채용,서울시 관악구 남부 순환로,https://www.wanted.co.kr/wd/186672
288,룰루 메딕,경영 매니저 총무,신입,유무 자산 관리 자산 제외 부동산 사무 가구 기기 구매 유지 보수 사무 비품 문서 관리 인장 인감 관리 회사 운영 비용 관리 처리 사무 환경 복리 후생 관리 기업 부설 연구소 관리 회사 행사 출장 관리 협업 회사 경영 의사결정 포트,자격 요건 유관 커뮤니케이션 협업 문제해결 보유 능동 적극 마인드 책임감 보안 의식 보유 더존 슬랙 활용,우대 사항 규모 재무 지식 보유 소재지 이전 설치 사무 공간 인테리어 주식 주주 관리 프로그램 이용 직무 확장 성장 욕구 전사 단위 확장,혜택 복지 일해 매월 통해 활동 유급 부여 룰루메딕 첫날 기념 창립 기념일 휴일 헌신 최대 장기 휴가 룰루 고객 직원 글로벌 트래블 케어 할인 혜택 첫날 기억 룰루메딕 위해 매달 세레머니 비용 최고 룰루 집중 위해 시차 출퇴근 운영 달리기 점심시간 운영 룰루 성장 응원 룰루 서재 도서 제도 운영 명절 명절 선물 룰루 위해 제도 운영 기쁨 슬픔 경조사 룰루 운영 위해 기기,,휴가 유연 근무 재택근무 의료 업계 평균 설립,마감 일상 채용,서울시 강남구 테헤란로,https://www.wanted.co.kr/wd/219719
289,위메이드,서비스 기획,,서비스 기획 플랫폼 프러덕트 기획 백오피스 콘솔 서비스 기획 서비스 활성화 운영 기획 유관 부서 협업 기능 요건 정의 아키텍처 설계 일정 관리 서비스 분석 개선 사항 도출 관련 시장조사 데이터 조사,자격 요건 관련 플랫폼 기획 서비스 기획 블록 체인 서비스 서비스 습득 지표 분석 통해 서비스 개선 포인트 서비스 긍정 태도 협업 부서 커뮤니케이션 사용 서비스 기획 포트폴리오 필수 제출,우대 사항 블록 체인 관련 프로젝트 기획 참여 서비스 출시,혜택 복지 조식 중식 건강검진 단체 보험 사내 카페 복지 카드 가룸 수면 실수 유실 스포츠 센터 휴양 시설 제휴 장기 포상 배려 존중 최고 동료 취향 기분 마음 메뉴 선택 식사 포인트 최상 원두 전문 바리스타 카페테리아 커피 음료 무료 마음껏 수면 샤워 유실 스포츠 센터 위메이드 편의 시설 연간 만원 복지 포인트 문화 취미 생활 일과 생활 균형 위해 연차 사용 경조사 경조 원금 유급 휴가 단체 보험 가입 종합 건강검진 독감 예방접종 건강 일해 가족 종합 건강검진 자녀 진학 부담 입학 축하 대학교 학자금 휴식 위해 레지던스 리조트 회원 준비 위메이드 기여 장기 근속 위메이드 상금 전형 절차 서류 전형 실무 면접 임원 면접 최종 합격 서류 전형 경우 합격자 개별 직무 면접 전형 과제 전형 추가 면접 결과 확정 처우 협의 입사 포함 완료 최종 합격 결정 공고 격자 채용 마감 장애인 국가 보훈 대상자 관계 법령 의거 우대 내용 사실 경우 합격 입사 취소,,편의 시설 단체 보험 커피 스낵바 건강검진 복지 포인트 유급 휴가 유망 산업 상위 설립 누적 투자 선도 기업 산업 기능 요원,마감,경기도 성남시 분당구 대왕판교로 번길 위메이드 타워,https://www.wanted.co.kr/wd/228146
290,,,,글로벌 최고 잠재력 임의 프로덕트 목표 사일로 핵심 지표 정의 실험 설계 실행 결과 도출 모든 과정 담당 프로덕트 성공 역할 모바일 제품 담당자 이전 커리어 직무 전환 한지 분도 환영 로서 가설 수립 실험 통해 도출 가설 검증 통해 제품 고도화 지시 보고 프로세스 존재 본인 결정 통해 스스로 임팩트,자격 요건 금융 관련 제품 라운드 제품 고민 애자 방식 최고 자질 불타 열정,혜택 복지 타의 추종 불허 엘리트 조직 일원 배움 성장 가시 업계 기업 스톡옵션 참여 기회 주도 문제 정의 해결 성장 지향 환경,복지 정보,,커피 스낵바 설립 위인,마감 일상 채용,서울시 강남구 테헤란로,https://www.wanted.co.kr/wd/148524
291,브이,사업 본부 사업 전략기획 리드,,성장 위해 가장 효율 최적화 운영 체계 구축 압도 고객 사업 성과 조직 부서 로서 역할 수행 운영 사업 계획 수립 손익 관리 연간 운영 사업 계획 수립 실행 세부 과제 추진 관리 포함 사업 주요 지표 관리 개선 운영 사업 타당성 검토 신규 사업 모델링 신규 운영 사업 손익 타당성 분석 운영 타당성 분석 기준 수립 상품 가격 전략 기획 운영 사업 모델 기획 실행 위탁 운영 비즈니스 멤버십 사업 전사 목표 달성 그룹 핵심 문제 정의 해결 방안 도출 리드 전사 그룹 목표 계해 그룹 핵심 문제 정의 프로젝트 과업 해결 방안 도출 도출 해결 방안 실현 유관 부서 협업 리드,자격 요건 사업 운영 전략기획 관련 사업 손익 관리 관련 문제 정의 해결 관리 전략 리더쉽 회사 전략 방향 조직 목표 주체 설정 구성원 조직 전과 목표 동기 정신 성숙 기획 문제 해결 나무 방향성 시야 데이터 종합 지성 핵심 문제 정의 분석 해결 방안 도출 커뮤니케이션 부동산 개발 부서 효과 소통 협력 전략 사고 회사 목표 전과 계해 논리 사고 능동 전략 수립 실행 주도 변화 개척 환경 제대로 세팅되 환경 제로 체계 프로세스 구축 환경 스스로 제안 리드 동료 구축 성장 마인드 근성 성장 마인드 가지 지속 발전 회사 성장 이해 객관 이해 바탕 전체 상호작용 인식 조직 발전 방향 실천 주체성 목표 역할 순위 능동 파악 책임감 회사 동반 성장 추구,우대 사항 부동산 산업 사업 전반 이해 조직 그룹 일종 컨설팅 문제해결 전담 조직 잠재력 적극 코칭 전문가 성장 리더십 보유 단순 전략기획 문서 실질 사업 운영 레이 속성 이해 사업 목적 목표 달성 위해 조직 동기 통합 실천 근성 보유 서비스 보유 사업 운영 전략 기획 데이터 정의 도구 수단 활용 분석 통찰,혜택 복지 근로 관계 정규직 근무 서울시 성동구 왕십리 헤이그 라운드 서울숲 근무시간 선택 근로 출근 퇴근 보상 회사 내규 협의 복지 제도 자유 책임 원칙 자율 능동 문화 조성 자율 학습 문화 지지 개발 성장 컨텐츠 비용 연차 연차 사용 레쉬 휴가 근속 시점 유급 휴가 휴가 특별 육아휴가 자녀 구성 최대 유급 무급 휴가 법정 육아휴직 별도 운영 건강검진 종합 검진 패키지 격년 성장 중인 스타트업 물리 복지 규모 회사 구성원 지속 성장 연결 스테이지 부합 정책 진정 발전,,건강검진 휴가 휴가 비유 휴가 육아휴직 설립 누적 투자 상위,마감 일상 채용,성동구 왕십리 헤이그 라운드 서울숲,https://www.wanted.co.kr/wd/230958
292,번개 장터,광고,,사업 변화 제품 진화 정렬 문제 해결 리드 유저 지불 사용 서비스 사업 모델 이해도 바탕 제품 장기 전과 기적 성장 균형 역할 수행 제품 서비스 관점 해결 문제 정의 리소스 분배 제품 서비스 가치 유저 전달 가운데 서비스 운영 효율 효과 어드민 운영 과제 이해 프로세스 기획 조직 중심 역할 개발자 디자이너 운영 언어 이해 상하좌우 적극 소통 의사결정 이슈 요구사항 접수 과제 문제 해결 로서 역할 수행 개선 결과 추적 회고 정성 정량 분석 고객 발굴 순위 결정,자격 요건 광고 프로 서비스 사업 기획 분야 개발 디자인 비즈니스 커뮤니케이션 논리 구조 사고 광고 관리 시뮬레이션 리드 매니지먼트 스스로 목표 전략 설정 논리 커뮤니케이션 협업 지적 보유 퍼포먼스 매우,우대 사항 커머스 플랫폼 입점 상점 대상 광고 상품 기획런칭 대상 광고 이해도 커머스 업계 스타트업 근무 보유,혜택 복지 근무 환경 자율 출퇴근 제도 운영 매월 날짜 조기 퇴근 오아시스 날짜 모트 집중 환경 영어 이름 수평 커뮤니케이션 주도 환경 성장 기회 야근 회식 양해 최신 고급 장비 맥북 프로 그램 스위블 모니터 효율 모트 근무 만원 상당 재택 근무 장비 식사 밥값 걱정 점심 저녁 식대 간식 음료 무료 휴식 사유 결재 휴가 사용 단위 휴가 사용 연차 용도 순간 휴가 이외 성과 인센티브 관련 교육 세미나 참가 도서 구매 공단 검진 이외 추가 본인 가족 건강검진 사용자 매월 구성원 번개 포인트 생일 사람 조기 퇴근 상품권 번개 장터 컨시어 상품 최대 만원 할인,,건강검진 보너스 커피 스낵바 설립 가정 양립 상위,마감 일상 채용,서울시 서초구 서초대로 마제 스타 시티 타워,https://www.wanted.co.kr/wd/229832
293,피어 테크,경영 회계 인사 총무,신입,국내외 채널 매출 관리 비용 집행 처리 세금 보험 급여 처리 인사 총무 경영 회계 처리 연말정산 결산,자격 요건 년재 대학 졸업 책임감 자세 회계 세무 인사 이해도 문서 작성 관리,우대 사항 경영 스타트업 비즈니스 영어 유관 전공자 유관 자격증,혜택 복지 피어 테크 구성원 동료 최고 퍼포먼스 복리 후생 프로그램 근무 환경 만들기 위해 지속 연구 업계 최고 복지 혜택 점심 식대 본인 가족 건강검진 개인 법인 카드 석식 외근 야근 교통비 듀얼 모니터 필요 최신 장비 커리어 개발 최신 금융 시스템 혁신 트렌드 선도 클라우드 환경 블록 체인 디지털 자산 결제 금융 상품 지식 습득 장려 도서 강화 교육비 효율 최신 클라우드 환경 지하철 호선 호선 교통 추가 포상 제도 평가 센티 기여 스톡옵션 기회 부여 휴게 공간 아침 식사 대용 간편식 과일 간식 스낵바 이용,,유망 산업 출산휴가 커피 스낵바 자기계발 육아휴직 건강검진 보너스 설립 업계 평균 스톡옵션,마감,서울 강남구 봉은사로 빌딩,https://www.wanted.co.kr/wd/227309
294,이스트 이드,재무회계 담당자,,결산 분기 결산 자금 집행 법인 카드 관리 부가가치세 지방세 세무 신고 회계 정책 수립 이슈 파악 회계감사 대응,자격 요건 관련 커뮤니케이션 책임감,우대 사항 장사 회계 종업 근무 회계 세무 관련 자격증 보유 더존 사용,혜택 복지 이스트 이드 생활 공개 몰입 호칭 문화 최신 장비 사내 무료 스낵바 운영 간식 직원 달래 서적 도서 제한 조건 구매 저녁식사 택시 원시 이후 택시 시차 출퇴근 건강검진 최고 의료 기관 진행 건강검진 입사 수습 종료 축하 선물 휴가 휴가 휴가 단체 보험 직원 배우자 자녀 실손 의료 보험 제주 캠퍼스 게스트 리조트 콘도 이용소 한화 국내 유명 리조트 웨어 쇼핑몰 할인 경조사 회갑 부의 출산 선물 산후 근속 장려 자녀수당 초등학교 입학 축하 자녀 학교 알약 복지 포인트 선택 복지 교육 세미나 컨퍼런스 이스트 이드 인사 복지 제도 계속 발전 예정,,유연 근무 휴가 단체 보험 복지 포인트 커피 스낵바 건강검진 의료 자기계발 편의 설명 설립,마감 일상 채용,서울시 서초구 반포대로 이스트 빌딩,https://www.wanted.co.kr/wd/238603
295,보이저 엑스,서비스 운영 담당자,,보이저 엑스 서비스 운영 담당자 아래 주요 통해 사용자 보이저 엑스 여러 서비스 더욱 안정 사용 아래 모든 주요 사람 담당 담당 범위 상황 개인 조율 주요 유료 금제 운영 유료 금제 견적 관련 문의 대하 채팅 전화 사용 답변 결제 사용 모니터링 경우 용법 안내 계합 해지 환불 요청 운영 정책 매뉴얼 안정 처리 주요 용법 안내 경로 인입 용법 관련 질문 대하 채팅 전화 사용 답변 사용자 부분 기적 정리 공유 자주 용법 관련 질문 컨텐츠 게시 영상 형태 배포 주요 이슈 파악 경로 인입 오류 문제 대하 채팅 전화 사용 조사 조사 통해 사실 공유 이슈 해결 독려 이슈 임시 방편 안내 진행 상황 업데이트 통해 사용자 성심껏 소통 주요 커뮤니티 빌딩 오픈 카톡 게시판 기존 커뮤니티 운영 유튜브 라이브 오프라인 간담 사용자 호흡 이벤트 기획 집행 사용자 서비스 애착 방법 대해 지속 고민 실천,자격 요건 필수 요건 서비스 운영 상임 누군가 보람 느낌 여러 동시 관리 처리 지속 개선 발전 의지 가지 반복 의미 책임감 공감 경청 소프트웨어 다룸,우대 사항 아래 사항 더욱 스타트업 근무 영어 일본어 의사 소통,혜택 복지 휴가 사용 무급 휴가 무제한 동료 협업 위해 사이 근무 약속 구성원 조정 재택근무 협의 재택근무 추가 과중 카페 전체 회의 이어도 카페 원격 참석 사무실 가로 책상 서랍 전동 스탠딩 데스크 보드 마우스 모니터 최고급 사양 개인맞춤 구매 소프트웨어 하드웨어 사무 용품 커피 음료 과자 무제한 맥주 무제한 운동 운동 휴식 공간 퍼즐 레고 보드게임 놀이 회사 비용 구매 공식 회식 수준 회식 점심 맛집,,유망 산업 커피 스낵바 재택근무 설립 위인,마감 일상 채용,서초구 서초대로 마제 스타 시티 타워 보이저 엑스,https://www.wanted.co.kr/wd/238351
296,,운영 혁신 매니저,,경영 관리 마케팅 기술 회사 전반 시시각각 비즈니스 순위 처리 성함 부서 전사 사업 참여 부분 회사 비즈니스 목표 달성 어감 회사 전반 레이 효율 빈틈 대해 고민 혁신 스스로 기획 수행,자격 요건 커뮤니케이션 문서 작성 핵심 원칙 인재 대해 공감,우대 사항 스타트업 기업 비즈니스 보유 이해도 소프트웨어 개발 데이터 이해도,혜택 복지 점심 저녁 식대 신청 모든 간식 구비 자율 휴가 제도 운영 유연 무제 운영 맥북 모니터 장비 소프트웨어 구입 관련 교육비 보험,,식대 자기계발 커피 스낵바 설립 선도 기업 상위,마감 일상 채용,서울시 강남구 논현로 비드 빌딩,https://www.wanted.co.kr/wd/188549
297,컴퍼니,재무 담당,,재무회계 결산 별도 연결 회계 정책 수립 회계 처리 검토 외부 감사 수검 대응 부가세 천세 신고 세무,자격 요건 기준 회계 처리 별도 연결 회계 관련 보유 외부 회계감사 수검 대응 외부 공시 자료 작성 부가세 천세 처리 신고 실무 진행 더존 사용,우대 사항 우대 사항 이커머스 플랫폼 스타트업 회계 책임감 논리 사고 회사 성장 발전 욕구 열정 정형 환경 적극 능동 수행 회계 세무 관련 자격증 보유,혜택 복지 환경 장비 통신비 비즈니스 택시 휴게 공간 성장 자기계발 성장 원금 자기계발 체력 스터디 그룹 운영 러닝 크루 제도 생활 종합 건강검진 건강검진 휴가 카카오 사내 식당 식도락 이용 식비 일부 카카오 카페테리아 할인 이용 카카오 통근 버스 이용 야식 경조사 명절 상여금 근무 휴가 보상금 제도 유연근무제 단위 연차 제도 생일 휴가 장기 근속 상금 사내 추천 보상금 제도,,통신비 자기계발 건강검진 편의 시설 유연 근무 보너스 설립 상위 인원,마감 일상 채용,성남시 분당구 판교역 알파 타워,https://www.wanted.co.kr/wd/234685
298,플루 디오,포카 마켓 국내 서비스,,포카 마켓 국내 프로 국내 사일로 조직 리딩 비즈니스 성과 달성 프로 의사결정 장기 방향 대해 고민 프로 로드맵 지표 목표 수립 영진 커뮤니케이션 통해 프로 목표 수립 순위 설정 사일로 수립 실행 프로세스 관리 주도 진행 사일로 내의 스쿼드 조직 담당 리드 채용 훈련 코칭 역할 수행,자격 요건 최소 서비스 플랫폼 운영 리드 시장 임팩트 전략 수립 검증 실행 순위 관리 소통 서비스 개선 비즈니스 요구사항 플랫폼 반영 관심 가지 실행 프로덕트 지표 성장,우대 사항 격하 환영 최소 구성원 리드 프로덕트 운영 사업 운영 기획 이니셔티브 데이터 분석 지표 관리 창업 스타트업 주도 수행,혜택 복지 인재 보상 필수 사시 처우 협의 정의 기회 기별 성과 센티 제도 자기계발 만원 복지 포인트 최고 효율 환경 최상급 장비 맥북 아이맥 유연 무제 운영 지옥 원격 무제 운영 서든 포카 마켓 게더 타운 홍대입구역 거리 위치 접근성 오피스 위치 선물 복지 준비 여름 겨울 휴가 명절 선물 생일 선물 조기 퇴근 간식 커피 무한 소통 문화 조직 기본 생각 직급 불문 수평 문화 타운 미팅 통해 회사 성장 일정 공유 분기 별로 컬쳐 데이 통해 타부 팀원 친목 도모 컬쳐 데이 팀원 체험 회사 마지막 최고 복지 나이스 생각 포카 마켓 최고 프로 서비스 통해 시장 혁신 고객 만족 성장 위해 하루하루 포카 마켓 팀원 포카 마켓 성장,,보너스 커피 스낵바 자기계발 유연 근무 설립 워크샵 인원,마감 일상 채용,서울특별시 마포구 와우산 로길,https://www.wanted.co.kr/wd/236540
